Group,Field,Gender,University,Semester
AI/ML (Female) -  Group 1,AI/ML,Female,Lahore College for Women University (Affiiated Campus: GGCW Gulberg),7th
AI/ML (Female) -  Group 1,AI/ML,Female,Sir Syed University of Engineering and Technology,7th
AI/ML (Female) -  Group 2,AI/ML,Female,COMSATS University Islamabad,7th
AI/ML (Female) -  Group 2,AI/ML,Female,University of Haripur,7th
AI/ML (Female) -  Group 2,AI/ML,Female,"Nust, MCS Rawalpindi campus",7th
AI/ML (Female) -  Group 2,AI/ML,Female,Arid Agricultural University Rawalpindi,7th
AI/ML (Female) -  Group 3,AI/ML,Female,Szabist,7th
AI/ML (Female) -  Group 3,AI/ML,Female,Lahore Garrison University,7th
AI/ML (Female) -  Group 3,AI/ML,Female,Fatima Jinnah Women University,7th
AI/ML (Female) -  Group 3,AI/ML,Female,Sarhad University Peshawar,7th
AI/ML (Female) -  Group 3,AI/ML,Female,PMAS ARID AGRICULTURE UNIVERSITY,7th
AI/ML (Female) -  Group 4,AI/ML,Female,Lahore Garrison University,7th
AI/ML (Female) -  Group 4,AI/ML,Female,COMSATS University Islamabad,7th
AI/ML (Female) -  Group 4,AI/ML,Female,Abasyn University Islamabad,7th
AI/ML (Female) -  Group 5,AI/ML,Female,"Dawood University of Engineering & Technology, Karachi",7th
AI/ML (Female) -  Group 5,AI/ML,Female,Riphah international University,7th
AI/ML (Female) -  Group 6,AI/ML,Female,COMSATS University Islamabad,7th
AI/ML (Female) -  Group 7,AI/ML,Female,Muhammad Ali Jinnah University,7th
AI/ML (Female) -  Group 7,AI/ML,Female,"Nust, MCS Rawalpindi campus",7th
AI/ML (Male) -  Group 1,AI/ML,Male,UET Taxila,7th
AI/ML (Male) -  Group 3,AI/ML,Male,Barani institute of management sciences,7th
AI/ML (Male) -  Group 3,AI/ML,Male,International Islamic University Islamabad,7th
AI/ML (Male) -  Group 3,AI/ML,Male,Federal Urdu University of Arts Science and Technology,7th
AI/ML (Male) -  Group 4,AI/ML,Male,Riphah international university Islamabad,7th
AI/ML (Male) -  Group 4,AI/ML,Male,Szabist Karachi,7th
AI/ML (Male) -  Group 6,AI/ML,Male,NUST Balochistan Campus,7th
AI/ML (Male) -  Group 7,AI/ML,Male,University of Sargodha,7th
AI/ML (Male) -  Group 7,AI/ML,Male,SZABIST Islamabad,7th
AI/ML (Male) -  Group 7,AI/ML,Male,Iqra university Islamabad,7th
AI/ML (Male) -  Group 7,AI/ML,Male,Ghulam ishaq khan institute of engineering science and technology,7th
Blue Team / SOC (Female) -  Group 1,Blue Team / SOC,Female,"Dawood University of Engineering & Technology, Karachi",7th
